Type,Title,Issuance Date,Cancellation Date,Cause,Count,Monitoring Station,Location Name,Statewide,Island,Island Wide,County,Advisement,Status
Brown Water Advisory,"Brown Water Advisory at Waihe'e to Kahului Harbor, Maui",8/27/2024 2:17:50 AM,9/5/2024 5:07:34 PM,Heavy rain,,,Waihe'e to Kahului Harbor,No,Maui,No,Maui,"A Brown Water Advisory has been issued at Waihe'e to Kahului Harbor on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1841/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Uwapo Road to Cove Park, Maui",8/27/2024 2:16:49 AM,9/5/2024 5:07:19 PM,Heavy rain,,,Uwapo Road to Cove Park,No,Maui,No,Maui,"A Brown Water Advisory has been issued at  Uwapo Road to Cove Park on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1840/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Maalaea to  McGregor Point, Maui",8/27/2024 2:15:54 AM,9/5/2024 5:07:02 PM,Heavy rain,,,Maalaea to  McGregor Point,No,Maui,No,Maui,"A Brown Water Advisory has been issued at Maalaea to  McGregor Point on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1839/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Puamana to Papalaua, Maui",8/27/2024 2:15:02 AM,9/5/2024 5:06:36 PM,Heavy rain,,,Puamana to Papalaua,No,Maui,No,Maui,"A Brown Water Advisory has been issued at Puamana to Papalaua on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1838/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kahana Village, Maui",8/27/2024 2:13:55 AM,9/5/2024 5:05:20 PM,Heavy rain,,,Kahana Village,No,Maui,No,Maui,"A Brown Water Advisory has been issued at Kahana Village on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1837/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Hanakao'o Beach Park, Maui",8/27/2024 2:12:10 AM,9/5/2024 5:05:59 PM,Heavy rain,,,Hanakao'o Beach Park,No,Maui,No,Maui,"A Brown Water Advisory has been issued at Hanakao'o Beach Park on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1836/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Fleming Beach Park, Maui",8/27/2024 2:09:41 AM,9/5/2024 5:05:02 PM,Heavy rain,,,DT Fleming Beach Park,No,Maui,No,Maui,"A Brown Water Advisory has been issued at DT Fleming Beach Park on Maui.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1835/details/view",Closed
Brown Water Advisory,Brown Water Advisory for the east side of Hawaii Island from Kohala to south point,8/26/2024 11:37:58 PM,9/5/2024 7:09:06 PM,The recent heavy rain,,,The east side of Hawaii Island from Kohala to south point,No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued for the east side of Hawaii Island from Kohala to south point.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain.  After storms or heavy rain, the water may contain higher-than-normal pollutant levels.  The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or ponds to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. For more information on leptospirosis, please see: https://health.hawaii.gov/docd/disease_listing/leptospirosis/

If the water is brown, turn around.
For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1834/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",8/6/2024 7:53:46 PM,8/12/2024 9:45:45 PM,River flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued for Waimea Bay, Oahu

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. 

If the water is brown, turn around.
For more information please see: 
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1833/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Wailoa River Mouth A, Hawai‘i",8/2/2024 1:52:33 AM,9/5/2024 7:09:25 PM,Rain,,,Wailoa River Mouth A,No,Hawai‘i,No,Hawaii,"A Brown Water Advisory has been issued at Wailoa River Mouth A, Hawai‘i.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. 

If the water is brown, turn around.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1832/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Laniakea Beach, O‘ahu",7/30/2024 1:43:51 AM,8/7/2024 8:57:51 PM,Recent rain,,,Laniakea Beach,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Laniakea Beach on O‘ahu.

The Hawaii Department of Health advises beach users to stay out of waters when the water appears brown or murky, especially following storms or heavy rain. After storms or heavy rain, the water may contain higher than normal pollutant levels. The Department recommends staying out of the water for 48-72 hours after the rain has stopped and after the beach has received full sunshine.

The Department of Health advises the public to avoid swimming, wading in, or drinking water from any freshwater streams or pond to prevent leptospirosis, a bacterial infection caused by the Leptospira bacteria. 

If the water is brown, turn around.

For more information, please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1827/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",6/25/2024 10:06:06 PM,7/1/2024 11:01:01 PM,River open; flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Waimea Bay on O‘ahu.

River open; flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1820/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Oneawa Beach, O‘ahu",5/28/2024 8:02:50 PM,6/20/2024 5:34:04 PM,Lingering effects from earlier Kona storm,,,Oneawa Beach,No,O‘ahu,No,Honolulu,"Updated: 06/12/2024.

A Brown Water Advisory has been issued at Oneawa Beach on O‘ahu.

Lingering effects from earlier  Kona storm has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at Waimea Bay, O‘ahu",5/23/2024 1:25:19 AM,6/11/2024 1:25:59 AM,Heavy rain/river open; flowing,,,Waimea Bay,No,O‘ahu,No,Honolulu,"Updated: 6/03/2024.

Although the island-wide Brown Water Advisory for O‘ahu has been cancelled, there remains a Brown Water Advisory for Waimea Bay on O‘ahu.

Heavy rain/river open; flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1809/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kailua Bay, O‘ahu",5/23/2024 1:24:37 AM,5/28/2024 8:00:24 PM,Heavy rain and stream flow,,,Kailua Bay,No,O‘ahu,No,Honolulu,"Although the island-wide Brown Water Advisory for O‘ahu has been cancelled, there remains a Brown Water Advisory for Kailua Bay on O‘ahu.

Heavy rain and stream flow has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1808/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Chun's Reef, O‘ahu",5/23/2024 1:23:33 AM,5/29/2024 7:38:05 PM,Heavy rain,,,Chun's Reef,No,O‘ahu,No,Honolulu,"Although the island-wide Brown Water Advisory for O‘ahu has been cancelled, there remains a Brown Water Advisory for Chun's Reef on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb#!/event/1807/details/view",Closed
Brown Water Advisory,Brown Water Advisory for Maui - West (Honokowai BP to Papalaua BP) and South (Maalaea Bay to Keawakapu BP),5/17/2024 2:22:10 AM,5/23/2024 2:33:45 AM,Heavy rain and high surf,,,Maui - West (Honokowai BP to Papalaua BP) and South (Maalaea Bay to Keawakapu BP),No,Maui,No,Maui,"A Brown Water Advisory has been issued for Maui - West (Honokowai Beach Park to Papalaua Beach Park) and South (Maalaea Bay to Keawakapu Beach Park) 

Heavy rain has resulted in stormwater runoff entering into coastal waters and the high surf has resulted in coastal waters reaching into foliage and other areas above the normal high-water mark, including roadways. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory, Island of O‘ahu",5/16/2024 7:25:32 PM,5/23/2024 1:21:10 AM,Heavy rain,,,,No,O‘ahu,Yes,Honolulu,"A Brown Water Advisory has been issued for the Island of O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1803/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Wailua Bay, Kaua‘i",5/15/2024 12:44:45 AM,5/24/2024 12:39:43 AM,Heavy rain,,,Wailua Bay,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Wailua Bay on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1797/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Nawiliwili Bay and Kalapaki Beach, Kaua‘i",5/14/2024 11:46:48 PM,9/17/2024 9:47:58 PM,Heavy rain,,,Nawiliwili Bay and Kalapaki Beach,No,Kaua‘i,No,Kauai,"A Brown Water Advisory has been issued at Nawiliwili Bay and Kalapaki Beach on Kaua‘i.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.",Closed
Brown Water Advisory,"Brown Water Advisory at Kailua Beach Park, O‘ahu",5/14/2024 1:08:05 AM,5/16/2024 7:24:38 PM,Heavy rain/river open; flowing,,,Kailua Beach Park,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Kailua Beach Park on O‘ahu.

Heavy rain/river open; flowing has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1795/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Holoholokai Beach Park, Hawai‘i",5/14/2024 12:09:22 AM,5/29/2024 5:42:38 PM,Heavy rainfall,,,Holoholokai Beach Park to Pololu Valley,No,Hawai‘i,No,Hawaii,"Updated: 05/23/2024.

A Brown Water Advisory has been issued from Holoholokai Beach Park to Pololu Valley on Hawai‘i Island.

Heavy rainfall has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1794/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at Kaneohe Bay, O‘ahu",5/13/2024 10:39:46 PM,5/16/2024 7:24:23 PM,Heavy rain,,,Kaneohe Bay,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at Kaneohe Bay on O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1793/details/view",Closed
Brown Water Advisory,"Brown Water Advisory at North Shore, O‘ahu",5/13/2024 9:17:18 PM,5/16/2024 7:24:04 PM,Heavy rain,,,North Shore of O‘ahu,No,O‘ahu,No,Honolulu,"A Brown Water Advisory has been issued at North Shore of O‘ahu.

Heavy rain has resulted in stormwater runoff entering into coastal waters. The public is advised to stay out of flood waters and storm water runoff due to possible overflowing cesspools, sewer, manholes, pesticides, animal fecal matter, dead animals, pathogens, chemicals, and associated flood debris. Not all coastal areas may be impacted by runoff, however, if the water is brown stay out. Continue to practice good personal hygiene and follow-up with your primary care physician if you have any health concerns.

For more information:
https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1791/details/view",Closed
